product,quantity,unit_price,date,client,total,month
Headphones or earbuds,137.0,62.43,2025-03-07,Baker and Sons,8552.91,2025-03
Folder,13.0,125.96,2025-03-29,"Wallace, Thomas and Baker",1637.48,2025-03
Highlighter,73.0,283.09,2024-05-10,"Yu, Maldonado and Wells",20665.57,2024-05
Art sketchbook,18.0,170.73,2025-01-16,Campbell Ltd,3073.14,2025-01
#2 Pencil,118.0,66.52,2024-06-11,"Johnson, Green and Mcconnell",7849.36,2024-06
Mouse,101.0,495.78,2024-08-15,Shepherd-Bullock,50073.78,2024-08
Tablet,88.0,375.74,2024-05-27,"White, Gutierrez and Gonzalez",33065.12,2024-05
Tissues,93.0,312.23,2024-06-07,Perez LLC,29037.39,2024-06
Backpack,84.0,443.42,2024-07-09,Patterson-Daugherty,37247.28,2024-07
Hand sanitizer,140.0,182.73,2024-12-07,Gonzalez Group,25582.2,2024-12
Black pen,138.0,342.85,2024-12-16,Freeman PLC,47313.3,2024-12
Crayons or watercolor paints,140.0,485.23,2024-07-10,Thomas and Sons,67932.2,2024-07
Compass,80.0,413.13,2025-05-05,Zavala-Moran,33050.4,2025-05
Lab notebook,114.0,321.4,2024-06-18,Norton-Johnson,36639.6,2024-06
Colored pencils,118.0,273.31,2025-03-04,"Lee, Johnston and Miller",32250.58,2025-03
Loose-leaf paper,124.0,289.57,2024-08-30,Phillips-Woodward,35906.68,2024-08
Tablet,143.0,487.8,2024-07-23,Delgado-Doyle,69755.4,2024-07
Clipboard,28.0,298.03,2024-05-30,"Faulkner, Lowe and Smith",8344.84,2024-05
USB flash drive,134.0,480.33,2025-01-04,"Ford, Wilson and Wyatt",64364.22,2025-01
Loose-leaf paper,67.0,431.84,2024-10-08,Poole-Davis,28933.28,2024-10
Colored pencils,115.0,377.05,2024-06-01,Pearson-Palmer,43360.75,2024-06
Mechanical pencil,125.0,102.41,2025-02-08,Warren LLC,12801.25,2025-02
Mechanical pencil,53.0,21.38,2025-01-16,"Robinson, Middleton and Smith",1133.14,2025-01
Loose-leaf paper,120.0,227.45,2024-08-30,Bender-Ward,27294.0,2024-08
3-ring binders,121.0,96.4,2025-01-28,Davidson-Paul,11664.4,2025-01
3-ring binders,136.0,409.47,2024-08-06,Smith and Sons,55687.92,2024-08
Lab notebook,13.0,347.43,2025-03-07,May-Pierce,4516.59,2025-03
Blue pen,141.0,258.83,2024-05-16,"Hardin, Campbell and Hines",36495.03,2024-05
Headphones or earbuds,90.0,409.86,2025-04-15,Kim and Sons,36887.4,2025-04
Tablet,82.0,241.87,2025-02-26,"Nelson, Marshall and Chambers",19833.34,2025-02
Tablet,109.0,38.06,2025-02-11,Watkins-Hardin,4148.54,2025-02
Loose-leaf paper,64.0,102.96,2025-04-18,"Martinez, Smith and Black",6589.44,2025-04
page flags,69.0,149.0,2024-10-21,Smith LLC,10281.0,2024-10
Graphing calculator,25.0,441.93,2024-08-14,"Phillips, Davis and Anderson",11048.25,2024-08
Highlighter,50.0,492.07,2025-03-31,Vega PLC,24603.5,2025-03
Glue stick & liquid glue,102.0,367.8,2024-11-24,Davis-Pearson,37515.6,2024-11
Water bottle,36.0,415.91,2024-12-13,Higgins LLC,14972.76,2024-12
Backpack,123.0,174.49,2024-08-08,Scott and Sons,21462.27,2024-08
page flags,114.0,114.79,2024-05-15,"Smith, Freeman and Joseph",13086.06,2024-05
Sharpener,104.0,121.72,2025-04-08,Porter Inc,12658.88,2025-04
Hand sanitizer,29.0,311.37,2024-12-23,Goodwin Inc,9029.73,2024-12
Lined notebooks or composition books,63.0,147.79,2024-12-13,Thomas Group,9310.77,2024-12
Blue pen,21.0,21.63,2024-07-03,Reid-Brown,454.23,2024-07
Sharpener,126.0,89.13,2024-08-15,"Flowers, Rivera and Brown",11230.38,2024-08
Glue stick & liquid glue,139.0,432.52,2024-08-14,"King, Wall and Kramer",60120.28,2024-08
Pencil case,14.0,371.46,2025-05-08,Taylor-Osborne,5200.44,2025-05
Safety scissors,107.0,434.17,2025-03-14,"Harris, Proctor and Berry",46456.19,2025-03
Blue pen,103.0,410.43,2025-03-12,"Parker, Jones and Johnston",42274.29,2025-03
Water bottle,20.0,278.82,2025-03-23,"Phillips, Smith and Powell",5576.4,2025-03
Mouse,136.0,71.18,2025-02-15,"Brown, Campbell and Berry",9680.48,2025-02
Scientific calculator,118.0,153.85,2024-09-09,Cook Inc,18154.3,2024-09
Hand sanitizer,39.0,352.88,2024-09-09,Bennett-Mcdonald,13762.32,2024-09
#2 Pencil,117.0,89.61,2024-08-02,"Olson, Davidson and Garcia",10484.37,2024-08
page flags,121.0,83.86,2024-09-17,Burns PLC,10147.06,2024-09
Highlighter,37.0,362.0,2024-12-30,Mcdaniel Ltd,13394.0,2024-12
Safety scissors,68.0,493.06,2024-06-15,Baker and Sons,33528.08,2024-06
Colored pencils,122.0,90.99,2024-08-20,Harper-Robbins,11100.78,2024-08
USB flash drive,60.0,489.01,2024-08-13,"Sanchez, Vincent and Alvarez",29340.6,2024-08
Graphing calculator,143.0,298.73,2025-04-27,"Scott, Compton and West",42718.39,2025-04
Tablet,99.0,472.74,2024-11-13,Rivera Group,46801.26,2024-11
markers,106.0,34.8,2024-09-02,Russell-Jennings,3688.8,2024-09
3-ring binders,107.0,216.64,2025-02-07,Carter-Hill,23180.48,2025-02
Ruler,74.0,206.35,2025-02-15,"Rich, Allen and James",15269.9,2025-02
Laptop,69.0,179.63,2025-04-28,"Lewis, Pearson and Scott",12394.47,2025-04
Pencil pouch,119.0,15.04,2024-07-27,Reyes-Moss,1789.76,2024-07
Black pen,45.0,341.36,2024-07-12,Nelson-Phillips,15361.2,2024-07
Ruler,19.0,376.33,2024-07-03,Fields Ltd,7150.27,2024-07
Laptop,132.0,248.37,2024-12-08,"Graham, Graham and Pitts",32784.84,2024-12
Lined notebooks or composition books,118.0,223.32,2024-09-13,Paul LLC,26351.76,2024-09
Blue pen,116.0,381.2,2025-03-31,"Wright, Gutierrez and Morton",44219.2,2025-03
Construction paper,128.0,214.15,2025-03-25,"Brown, Owens and Gray",27411.2,2025-03
Charger & extension cord,100.0,243.66,2024-10-23,"Kirby, Martin and Parker",24366.0,2024-10
Erasers,23.0,220.7,2025-05-05,Contreras and Sons,5076.1,2025-05
Construction paper,109.0,171.2,2024-11-16,Ellis-Campos,18660.8,2024-11
Construction paper,101.0,35.66,2025-03-22,Anderson-Gallegos,3601.66,2025-03
Blue pen,104.0,265.98,2024-09-13,Wilson-Johnson,27661.92,2024-09
Lunch box or bag,106.0,234.21,2024-10-03,"Lopez, Hammond and Lee",24826.26,2024-10
Tissues,25.0,199.34,2025-04-23,Taylor-Ramos,4983.5,2025-04
page flags,47.0,43.9,2024-06-09,Byrd-Flores,2063.3,2024-06
Pencil case,20.0,495.8,2024-09-03,Davidson PLC,9916.0,2024-09
Index cards,98.0,217.54,2025-01-16,Schneider-Robles,21318.92,2025-01
Erasers,71.0,95.49,2024-08-23,Patel Ltd,6779.79,2024-08
Tissues,126.0,271.65,2024-12-09,Guerrero LLC,34227.9,2024-12
Backpack,73.0,93.12,2024-11-13,Knapp LLC,6797.76,2024-11
Folder,16.0,467.72,2025-03-26,Bennett-Whitaker,7483.52,2025-03
Ruler,111.0,295.99,2024-07-11,Jordan Group,32854.89,2024-07
Clipboard,25.0,280.86,2025-02-02,Brewer-Palmer,7021.5,2025-02
Tablet,71.0,404.5,2025-05-09,Lawrence-Williams,28719.5,2025-05
Lab notebook,29.0,14.26,2024-07-17,Guerrero and Sons,413.54,2024-07
Lab notebook,83.0,10.25,2025-02-16,"Adams, Willis and Sutton",850.75,2025-02
Safety scissors,35.0,191.1,2024-12-03,"Garcia, Hughes and Mendez",6688.5,2024-12
Art sketchbook,15.0,483.49,2024-08-15,Rodriguez PLC,7252.35,2024-08
Compass,35.0,258.99,2025-03-09,Bauer LLC,9064.65,2025-03
page flags,106.0,68.49,2024-09-14,Mathis Inc,7259.94,2024-09
3-ring binders,50.0,111.41,2024-06-28,Davis Inc,5570.5,2024-06
Graph paper,139.0,74.65,2024-07-18,"Petty, Reed and Martinez",10376.35,2024-07
Mechanical pencil,109.0,351.01,2024-05-14,"Howard, Lynch and Ramsey",38260.09,2024-05
Blue pen,133.0,346.84,2024-09-07,"Novak, James and Cruz",46129.72,2024-09
Construction paper,121.0,323.11,2024-08-24,"Pierce, Charles and Salazar",39096.31,2024-08
Folder,34.0,132.09,2025-01-06,Williams-Salazar,4491.06,2025-01
Hand sanitizer,130.0,448.73,2024-12-05,"Browning, Lawson and Castillo",58334.9,2024-12
#2 Pencil,112.0,282.05,2024-09-26,"Mills, Henson and Rogers",31589.6,2024-09
Lab notebook,42.0,23.33,2024-10-02,"Mullen, Brown and Jones",979.86,2024-10
Construction paper,41.0,233.02,2024-07-08,Moran Ltd,9553.82,2024-07
Mouse,57.0,439.54,2024-10-26,Bates-Graham,25053.78,2024-10
Sharpener,69.0,475.94,2025-05-06,Parker Inc,32839.86,2025-05
Water bottle,128.0,351.53,2024-09-20,Farrell LLC,44995.84,2024-09
Index cards,132.0,187.59,2025-04-11,"Perez, Deleon and Jackson",24761.88,2025-04
Lab notebook,107.0,191.7,2024-12-29,"Blake, Cross and Collins",20511.9,2024-12
Clipboard,137.0,232.02,2024-10-12,Herman Group,31786.74,2024-10
3-ring binders,35.0,397.0,2025-01-05,"Acosta, Johnson and Collins",13895.0,2025-01
Crayons or watercolor paints,137.0,37.21,2025-01-27,Cox-Oneal,5097.77,2025-01
Graph paper,47.0,296.14,2025-03-20,Lopez Group,13918.58,2025-03
Lunch box or bag,101.0,410.58,2024-11-30,Glass PLC,41468.58,2024-11
Crayons or watercolor paints,35.0,240.41,2024-10-30,Carney-Anderson,8414.35,2024-10
Safety scissors,93.0,346.47,2024-12-29,Brennan-Bradley,32221.71,2024-12
Hand sanitizer,129.0,195.99,2025-02-25,Hill and Sons,25282.71,2025-02
Mechanical pencil,76.0,329.44,2024-09-19,"Carter, Williams and Nolan",25037.44,2024-09
Sharpener,134.0,488.39,2025-03-09,Johnson-Shea,65444.26,2025-03
page flags,98.0,315.94,2025-02-09,Smith PLC,30962.12,2025-02
Blue pen,82.0,323.98,2025-03-02,Craig Inc,26566.36,2025-03
Tablet,127.0,190.04,2024-07-07,Booth and Sons,24135.08,2024-07
Lunch box or bag,36.0,428.4,2024-11-10,"Hanson, Fitzpatrick and Brooks",15422.4,2024-11
Hand sanitizer,101.0,295.95,2024-05-25,Porter-Davis,29890.95,2024-05
Index cards,127.0,140.41,2024-06-02,Valdez and Sons,17832.07,2024-06
#2 Pencil,144.0,332.02,2025-01-24,"Cooper, Bell and Richardson",47810.88,2025-01
Construction paper,87.0,495.56,2024-11-09,"Butler, Mason and Rogers",43113.72,2024-11
Ruler,39.0,120.83,2024-07-22,"Russell, Kelly and Roberts",4712.37,2024-07
Sticky notes,23.0,227.41,2024-12-10,Farrell Group,5230.43,2024-12
#2 Pencil,120.0,192.49,2025-02-28,Rogers and Sons,23098.8,2025-02
Mouse,120.0,115.63,2025-02-23,Lawson PLC,13875.6,2025-02
USB flash drive,125.0,21.0,2025-04-18,Schultz-Mann,2625.0,2025-04
Lab notebook,29.0,470.66,2024-07-01,Hill-Flores,13649.14,2024-07
Headphones or earbuds,117.0,154.22,2025-01-27,Collins Group,18043.74,2025-01
Tissues,76.0,490.59,2024-07-16,"White, Davis and White",37284.84,2024-07
Black pen,47.0,95.12,2024-07-28,Hunter-Kelly,4470.64,2024-07
Compass,99.0,66.2,2024-10-25,Castillo LLC,6553.8,2024-10
Black pen,123.0,112.1,2024-07-13,Williams Inc,13788.3,2024-07
Backpack,27.0,147.95,2025-02-15,Alvarez and Sons,3994.65,2025-02
Red pen,92.0,31.12,2024-05-17,Rogers-David,2863.04,2024-05
Headphones or earbuds,28.0,134.08,2024-07-22,"Hall, Schmidt and Beasley",3754.24,2024-07
Sharpener,70.0,358.8,2024-07-02,"Woods, Ayala and Morris",25116.0,2024-07
Crayons or watercolor paints,84.0,345.6,2024-11-07,"Henderson, Mccall and Ortiz",29030.4,2024-11
USB flash drive,97.0,370.24,2024-05-31,Miller PLC,35913.28,2024-05
Red pen,44.0,170.4,2025-03-05,Williams Ltd,7497.6,2025-03
Folder,139.0,311.23,2025-01-20,Moore-Morris,43260.97,2025-01
Pencil pouch,140.0,242.18,2024-12-23,"Fernandez, Cohen and Willis",33905.2,2024-12
Black pen,70.0,74.95,2024-10-27,Walsh and Sons,5246.5,2024-10
USB flash drive,12.0,399.42,2024-06-05,Barber Inc,4793.04,2024-06
USB flash drive,68.0,304.11,2025-04-29,Berry-Miller,20679.48,2025-04
Construction paper,51.0,406.75,2024-12-14,"Watson, Berg and Palmer",20744.25,2024-12
Glue stick & liquid glue,137.0,202.46,2024-06-27,"Russell, Montgomery and Allison",27737.02,2024-06
Sharpener,51.0,225.53,2025-03-01,"Morgan, Ramirez and Walker",11502.03,2025-03
Crayons or watercolor paints,123.0,141.31,2024-10-01,Moran-Wheeler,17381.13,2024-10
Erasers,137.0,15.46,2024-08-24,"Martinez, Hutchinson and Fernandez",2118.02,2024-08
Blue pen,60.0,166.67,2024-06-20,"Knight, Martin and Phillips",10000.2,2024-06
Water bottle,141.0,69.27,2025-04-15,Vega and Sons,9767.07,2025-04
Lab notebook,54.0,228.5,2025-05-08,Mcclain PLC,12339.0,2025-05
Charger & extension cord,81.0,353.82,2024-11-14,"Hoffman, Myers and Davis",28659.42,2024-11
Mechanical pencil,101.0,258.75,2024-09-16,Rivera LLC,26133.75,2024-09
Tissues,82.0,160.6,2024-12-31,West Group,13169.2,2024-12
Headphones or earbuds,142.0,345.38,2024-05-10,Clayton LLC,49043.96,2024-05
Lined notebooks or composition books,16.0,292.15,2025-03-05,"Gates, Robinson and Wolfe",4674.4,2025-03
Lab notebook,63.0,430.98,2025-05-07,Willis and Sons,27151.74,2025-05
Tablet,55.0,304.23,2025-01-28,Allen LLC,16732.65,2025-01
Charger & extension cord,89.0,461.66,2024-09-01,"Cisneros, Rich and Rowland",41087.74,2024-09
Index cards,137.0,456.24,2025-02-19,Martinez PLC,62504.88,2025-02
Highlighter,59.0,128.61,2025-04-11,Perez PLC,7587.99,2025-04
Red pen,85.0,175.32,2025-02-09,"Turner, Walker and Rivas",14902.2,2025-02
Pencil case,127.0,261.6,2025-02-22,"Morgan, Hughes and George",33223.2,2025-02
Sharpener,61.0,467.81,2024-10-14,"Ray, Owens and Brewer",28536.41,2024-10
Erasers,57.0,129.09,2024-06-21,Gilmore-West,7358.13,2024-06
Mouse,51.0,106.64,2025-02-09,Davis Group,5438.64,2025-02
Colored pencils,100.0,140.22,2024-06-02,Gomez-King,14022.0,2024-06
Protractor,70.0,43.15,2024-08-30,"Mckenzie, Kerr and Bray",3020.5,2024-08
Sticky notes,70.0,45.48,2024-12-15,Johnson Ltd,3183.6,2024-12
Red pen,125.0,90.13,2024-05-20,Moore-Garcia,11266.25,2024-05
Graphing calculator,136.0,269.73,2024-10-18,"George, Boyd and Williams",36683.28,2024-10
Dividers with tabs,46.0,207.63,2025-02-16,Hughes-Cabrera,9550.98,2025-02
Tablet,73.0,161.17,2024-11-23,Thompson Group,11765.41,2024-11
Lab notebook,71.0,233.06,2024-08-01,"Brady, Rogers and Peterson",16547.26,2024-08
Black pen,19.0,46.34,2025-02-25,"Brown, Joseph and Perez",880.46,2025-02
Highlighter,40.0,81.1,2024-12-04,"Pierce, Shaw and Edwards",3244.0,2024-12
Water bottle,132.0,45.31,2024-11-22,Moore and Sons,5980.92,2024-11
Art sketchbook,131.0,213.91,2024-07-18,Hayes and Sons,28022.21,2024-07
Glue stick & liquid glue,139.0,94.75,2025-01-25,Wilson and Sons,13170.25,2025-01
Tablet,51.0,348.07,2025-01-18,Barker Group,17751.57,2025-01
Protractor,21.0,102.39,2024-05-22,"Patel, Brandt and Malone",2150.19,2024-05
Water bottle,44.0,424.33,2025-03-04,Richardson-Gonzales,18670.52,2025-03
Index cards,136.0,284.13,2025-03-20,"Brown, Chambers and Brown",38641.68,2025-03
Lunch box or bag,77.0,79.04,2025-03-03,Hughes-Smith,6086.08,2025-03
Pencil pouch,106.0,53.38,2025-03-25,"Wang, Carter and Marquez",5658.28,2025-03
Red pen,138.0,415.9,2024-06-01,Keith-Jones,57394.2,2024-06
Water bottle,90.0,104.84,2024-10-11,Orozco-Thomas,9435.6,2024-10
Crayons or watercolor paints,131.0,120.85,2024-06-15,Munoz and Sons,15831.35,2024-06
page flags,29.0,418.14,2025-01-14,Herrera-Gilmore,12126.06,2025-01
Graphing calculator,127.0,121.53,2024-08-19,Gordon-Moore,15434.31,2024-08
Hand sanitizer,101.0,279.11,2024-07-22,"Jackson, Hernandez and Russell",28190.11,2024-07
Index cards,55.0,322.25,2024-10-28,"Hamilton, King and Miller",17723.75,2024-10
Backpack,118.0,282.59,2025-01-16,Dunn Inc,33345.62,2025-01
Laptop,126.0,220.92,2024-05-27,"Martinez, Oliver and Khan",27835.92,2024-05
Compass,63.0,180.13,2025-02-09,Blackburn and Sons,11348.19,2025-02
Hand sanitizer,69.0,166.79,2024-11-10,"George, Reynolds and Johnson",11508.51,2024-11
Crayons or watercolor paints,55.0,148.23,2024-08-05,Waters-Foster,8152.65,2024-08
Construction paper,90.0,421.88,2025-01-14,"Golden, Petty and Murray",37969.2,2025-01
Hand sanitizer,100.0,76.8,2025-03-22,Davis-Washington,7680.0,2025-03
Mechanical pencil,94.0,69.1,2024-07-13,Giles Group,6495.4,2024-07
Tablet,86.0,302.66,2024-11-14,"Baker, Smith and Coleman",26028.76,2024-11
Lunch box or bag,114.0,87.66,2024-09-29,"Tucker, Wright and Lane",9993.24,2024-09
Pencil case,128.0,189.99,2025-01-30,Clark PLC,24318.72,2025-01
Clipboard,43.0,99.76,2024-08-31,Smith Inc,4289.68,2024-08
Lab notebook,79.0,13.9,2025-03-01,"Blanchard, Scott and Castillo",1098.1,2025-03
Erasers,55.0,305.86,2024-10-19,Riley-Gonzales,16822.3,2024-10
Sharpener,19.0,109.32,2025-03-22,"Ortiz, Watkins and Ross",2077.08,2025-03
Crayons or watercolor paints,49.0,192.92,2024-10-23,"Howard, Brooks and Shepherd",9453.08,2024-10
Safety scissors,47.0,370.36,2025-05-09,Hanson-Mcbride,17406.92,2025-05
Clipboard,54.0,442.7,2024-10-13,"Johnson, Anderson and Huff",23905.8,2024-10
Water bottle,140.0,482.57,2024-09-22,Smith-Dillon,67559.8,2024-09
Pencil pouch,52.0,84.96,2025-01-10,"Page, Juarez and Carter",4417.92,2025-01
Laptop,16.0,250.8,2024-12-15,"Mendez, Dennis and Meyer",4012.8,2024-12
Tablet,79.0,230.72,2024-11-01,"Whitehead, Yang and Brown",18226.88,2024-11
Construction paper,100.0,140.52,2024-06-22,"Haynes, Young and Powell",14052.0,2024-06
Erasers,31.0,278.08,2025-03-17,"Thomas, Vargas and Winters",8620.48,2025-03
Pencil case,69.0,220.13,2024-09-10,Torres PLC,15188.97,2024-09
Graph paper,58.0,292.1,2025-04-25,Mcdowell-Bennett,16941.8,2025-04
Water bottle,25.0,189.26,2024-08-01,Jones-Holder,4731.5,2024-08
Ruler,23.0,144.68,2025-04-06,"Bradford, Morales and Palmer",3327.64,2025-04
Mouse,26.0,159.3,2024-11-26,Martin PLC,4141.8,2024-11
Glue stick & liquid glue,52.0,118.4,2025-02-11,"Mckenzie, Newman and Mitchell",6156.8,2025-02
Folder,62.0,126.41,2024-05-21,Higgins LLC,7837.42,2024-05
Pencil case,97.0,468.68,2024-10-20,Mendez LLC,45461.96,2024-10
Lined notebooks or composition books,21.0,82.0,2024-10-15,Rhodes and Sons,1722.0,2024-10
Construction paper,65.0,104.22,2024-09-12,"Shaw, Powell and Shea",6774.3,2024-09
Blue pen,99.0,37.36,2025-02-14,"Williams, Mckee and Newman",3698.64,2025-02
USB flash drive,131.0,254.35,2024-12-22,"Powers, Scott and Clark",33319.85,2024-12
Red pen,59.0,438.67,2024-06-07,"Gomez, Jenkins and Norman",25881.53,2024-06
Pencil pouch,130.0,204.42,2025-02-04,Chavez-Flores,26574.6,2025-02
Art sketchbook,27.0,285.24,2024-08-06,Moyer PLC,7701.48,2024-08
Blue pen,12.0,186.73,2025-03-30,Robinson Ltd,2240.76,2025-03
Lab notebook,80.0,269.75,2025-03-15,Young-Cooper,21580.0,2025-03
Water bottle,69.0,122.49,2024-11-20,Green-Williams,8451.81,2024-11
Safety scissors,103.0,313.53,2025-04-13,Garcia-Barrett,32293.59,2025-04
Lab notebook,114.0,299.99,2024-09-09,Estrada-Weaver,34198.86,2024-09
#2 Pencil,127.0,104.3,2024-12-04,Durham-Jenkins,13246.1,2024-12
3-ring binders,139.0,430.16,2024-05-12,Mckenzie-Hughes,59792.24,2024-05
Ruler,106.0,383.82,2024-08-14,Hayes-Gordon,40684.92,2024-08
Sticky notes,95.0,343.56,2024-12-06,Barajas-Nguyen,32638.2,2024-12
Black pen,38.0,325.03,2025-04-19,Davis-Adams,12351.14,2025-04
Headphones or earbuds,96.0,74.8,2024-09-01,Coleman Inc,7180.8,2024-09
Hand sanitizer,107.0,258.51,2024-08-28,Stevens and Sons,27660.57,2024-08
Construction paper,93.0,184.88,2025-04-18,Herrera and Sons,17193.84,2025-04
Hand sanitizer,135.0,96.21,2025-03-11,Fowler LLC,12988.35,2025-03
Index cards,99.0,16.63,2024-08-20,"Brown, Saunders and Harvey",1646.37,2024-08
Sticky notes,76.0,280.94,2024-06-16,Flores-Freeman,21351.44,2024-06
Crayons or watercolor paints,122.0,110.92,2024-10-26,"Contreras, Clark and Paul",13532.24,2024-10
Lined notebooks or composition books,100.0,464.53,2024-07-04,Phillips-Cain,46453.0,2024-07
Dividers with tabs,137.0,151.34,2024-05-21,Logan-English,20733.58,2024-05
Headphones or earbuds,44.0,171.22,2024-05-17,"Mason, Dunn and Mclaughlin",7533.68,2024-05
Tissues,95.0,384.26,2024-12-27,Collier-Johnson,36504.7,2024-12
3-ring binders,140.0,291.11,2024-11-09,"Lawson, Harris and Landry",40755.4,2024-11
Dividers with tabs,142.0,63.56,2025-03-03,"Lewis, Roberts and Owens",9025.52,2025-03
Crayons or watercolor paints,26.0,17.62,2025-03-16,Johnson-Tapia,458.12,2025-03
Water bottle,79.0,173.42,2024-11-19,Vega-Bradford,13700.18,2024-11
Compass,16.0,46.23,2024-09-12,"Turner, Jacobson and Morris",739.68,2024-09
Hand sanitizer,35.0,93.97,2025-02-28,Burgess Group,3288.95,2025-02
Tablet,124.0,454.29,2024-07-16,"Lee, Williams and Fernandez",56331.96,2024-07
Protractor,104.0,169.8,2024-09-19,Edwards and Sons,17659.2,2024-09
Black pen,64.0,190.47,2024-11-01,"Joyce, Hull and Reid",12190.08,2024-11
Ruler,93.0,106.66,2025-04-15,"Hahn, Braun and Skinner",9919.38,2025-04
Lunch box or bag,68.0,447.71,2025-03-23,"Mccarthy, Wilson and Solomon",30444.28,2025-03
Art sketchbook,134.0,465.51,2025-01-30,Simmons-Sullivan,62378.34,2025-01
Highlighter,108.0,444.13,2024-09-12,Sexton-Baker,47966.04,2024-09
Backpack,126.0,293.76,2024-11-07,Murray-Thompson,37013.76,2024-11
Lab notebook,38.0,67.53,2024-10-25,Lewis-Wilson,2566.14,2024-10
Index cards,36.0,63.41,2025-02-15,"Bruce, Wallace and Reed",2282.76,2025-02
Graph paper,65.0,60.64,2025-02-16,Roth-Bond,3941.6,2025-02
Loose-leaf paper,79.0,157.09,2025-04-29,Harris Inc,12410.11,2025-04
Glue stick & liquid glue,115.0,280.05,2024-12-28,"Allen, Martin and Christensen",32205.75,2024-12
Red pen,121.0,343.89,2024-10-18,Park Inc,41610.69,2024-10
Mouse,77.0,275.52,2024-10-28,"Sawyer, Schwartz and Hart",21215.04,2024-10
Graphing calculator,17.0,243.21,2025-04-16,Williams-Carey,4134.57,2025-04
Tissues,119.0,496.61,2025-05-09,"Smith, Scott and Liu",59096.59,2025-05
Backpack,15.0,249.51,2025-03-31,"Phillips, Clark and Hall",3742.65,2025-03
Tablet,139.0,189.93,2024-09-18,Harris PLC,26400.27,2024-09
USB flash drive,31.0,139.59,2024-11-11,Bailey-Martinez,4327.29,2024-11
Highlighter,54.0,168.76,2024-10-26,Rosario-Gould,9113.04,2024-10
Laptop,16.0,160.33,2024-05-13,"Williams, Griffin and Wolfe",2565.28,2024-05
Compass,58.0,145.42,2024-08-13,"Allen, Wright and Mcgee",8434.36,2024-08
Tissues,103.0,139.39,2024-06-05,"Allen, Cruz and Stuart",14357.17,2024-06
Lunch box or bag,127.0,398.62,2025-03-07,Jackson-Patel,50624.74,2025-03
Art sketchbook,19.0,155.24,2024-07-07,Castillo-Simmons,2949.56,2024-07
Lab notebook,122.0,70.42,2024-08-11,Miller Ltd,8591.24,2024-08
Tablet,113.0,313.52,2025-04-11,Miller Ltd,35427.76,2025-04
Compass,17.0,293.12,2024-06-11,Williams-Rice,4983.04,2024-06
Backpack,98.0,466.28,2025-01-20,"Robinson, Adams and Owen",45695.44,2025-01
markers,101.0,415.57,2025-04-28,Campbell Ltd,41972.57,2025-04
Black pen,30.0,434.53,2025-03-16,"Fowler, Diaz and Bernard",13035.9,2025-03
Sharpener,139.0,297.48,2024-09-10,Williams-Hood,41349.72,2024-09
Graph paper,85.0,163.21,2024-07-22,Patterson Ltd,13872.85,2024-07
Ruler,124.0,195.57,2025-01-14,Lee and Sons,24250.68,2025-01
Sharpener,96.0,338.53,2024-06-21,Jordan PLC,32498.88,2024-06
Backpack,115.0,102.17,2025-01-12,"Green, Russell and Alexander",11749.55,2025-01
Pencil pouch,34.0,49.28,2024-11-18,Moss Inc,1675.52,2024-11
Scientific calculator,106.0,257.5,2024-08-15,"Gonzalez, Blake and Wilson",27295.0,2024-08
Colored pencils,19.0,418.43,2025-02-26,Hunter-Joseph,7950.17,2025-02
#2 Pencil,39.0,364.33,2025-04-21,Johnson PLC,14208.87,2025-04
Safety scissors,134.0,71.91,2024-07-28,"Terrell, Torres and Faulkner",9635.94,2024-07
Erasers,60.0,334.48,2024-12-08,Alexander-Lee,20068.8,2024-12
Black pen,27.0,414.8,2024-10-12,Jones Group,11199.6,2024-10
Tissues,50.0,30.36,2024-10-04,"Norris, Rhodes and Vargas",1518.0,2024-10
Colored pencils,133.0,43.51,2025-03-02,Armstrong Group,5786.83,2025-03
Tissues,52.0,110.07,2024-10-19,Wood Group,5723.64,2024-10
Art sketchbook,108.0,53.62,2025-01-23,"Clark, Olson and Hill",5790.96,2025-01
Blue pen,40.0,134.29,2024-09-21,Green-Scott,5371.6,2024-09
Ruler,31.0,234.47,2024-08-20,King Inc,7268.57,2024-08
Pencil pouch,111.0,98.39,2024-06-14,"Armstrong, Dominguez and Shaw",10921.29,2024-06
Mechanical pencil,32.0,498.52,2024-05-27,Estrada Inc,15952.64,2024-05
Crayons or watercolor paints,120.0,110.75,2024-07-03,"Vargas, Reeves and Mcdaniel",13290.0,2024-07
page flags,93.0,439.38,2025-03-20,"Ortiz, Hale and Chapman",40862.34,2025-03
Red pen,32.0,288.68,2025-04-12,Gilbert LLC,9237.76,2025-04
Pencil case,87.0,243.31,2025-03-12,Hayes Ltd,21167.97,2025-03
Red pen,118.0,123.56,2024-06-30,Thomas Inc,14580.08,2024-06
Hand sanitizer,129.0,277.09,2024-05-17,"Luna, Graham and Mcbride",35744.61,2024-05
3-ring binders,41.0,50.01,2025-01-09,Hamilton LLC,2050.41,2025-01
Lunch box or bag,48.0,135.26,2024-06-14,Fisher-Baker,6492.48,2024-06
Black pen,58.0,270.49,2025-04-24,"Jordan, Wright and Evans",15688.42,2025-04
Hand sanitizer,144.0,273.88,2024-05-29,Fischer-Spears,39438.72,2024-05
Lined notebooks or composition books,116.0,409.14,2025-03-29,Espinoza-Hernandez,47460.24,2025-03
